label,symptom_text
Heart Failure,Reports persistent shortness of breath while resting and during light activity.
Heart Failure,"Complains of swelling in ankles and legs, worsening by the end of the day."
Heart Failure,Experiences fatigue and reduced ability to exercise or perform daily tasks.
Heart Failure,"Noted difficulty breathing while lying flat, requires extra pillows at night."
Heart Failure,Reports coughing up pink frothy mucus with occasional wheezing.
Heart Failure,Complains of abdominal bloating and rapid weight gain over recent days.
Heart Failure,Patient feels tired despite proper sleep; denies chest pain at rest.
Heart Failure,Experiences rapid or irregular heartbeat along with lightheadedness.
Heart Failure,"Reports chest heaviness during mild exertion, relieved by rest."
Heart Failure,Complains of dizziness and fainting spells after standing for long periods.
Heart Failure,Reports frequent nighttime urination and disrupted sleep.
Heart Failure,Presents with cold hands and feet due to poor circulation.
Heart Failure,Experiences shortness of breath that worsens after meals.
Heart Failure,Reports persistent cough not related to infection.
Heart Failure,Patient feels unusually weak and exhausted throughout the day.
Heart Failure,Swelling noted in abdomen with discomfort and reduced appetite.
Heart Failure,Experiences tightness in the chest while climbing stairs.
Heart Failure,Patient reports fluttering sensation in chest with fatigue.
Heart Failure,Noted pale skin and bluish lips during physical exertion.
Heart Failure,Reports difficulty concentrating and feeling easily fatigued.
Heart Failure,Complains of morning headaches and swelling around eyes.
Heart Failure,Experiences rapid heartbeat and sweating during light activity.
Heart Failure,Reports faintness after bending or rising quickly.
Heart Failure,Persistent shortness of breath even when sitting still.
Heart Failure,Patient reports decreased appetite and mild nausea.
Kidney Failure,Reports decreased urine output and swelling in legs and feet.
Kidney Failure,"Complains of nausea, vomiting, and metallic taste in the mouth."
Kidney Failure,Experiences persistent fatigue and lack of energy.
Kidney Failure,"Presents with puffiness around eyes, especially in mornings."
Kidney Failure,"Reports muscle cramps at night and dry, itchy skin."
Kidney Failure,Patient notes dark-colored urine with occasional foam.
Kidney Failure,Complains of back pain near the kidney area and loss of appetite.
Kidney Failure,Experiences high blood pressure difficult to control with medication.
Kidney Failure,Reports frequent urination at night and excessive thirst.
Kidney Failure,Patient notes nausea after eating and reduced appetite.
Kidney Failure,Reports facial swelling and ankle edema worsening by evening.
Kidney Failure,"Experiences itching and pale, flaky skin on arms and legs."
Kidney Failure,Patient reports frequent fatigue and confusion during the day.
Kidney Failure,Complains of bad breath and persistent metallic taste.
Kidney Failure,Reports bloating sensation and stomach discomfort.
Kidney Failure,Experiences cold intolerance and pale complexion.
Kidney Failure,Patient notes reduced focus and general weakness.
Kidney Failure,Complains of nausea and vomiting after meals.
Kidney Failure,Reports swelling of hands and tightness in rings.
Kidney Failure,Experiences lower back pain radiating to the sides.
Kidney Failure,Presents with dark urine and mild burning sensation.
Kidney Failure,Complains of persistent dizziness and lightheadedness.
Kidney Failure,Reports muscle twitching and restless legs at night.
Kidney Failure,Experiences fatigue even after resting adequately.
Kidney Failure,Patient complains of decreased appetite and nausea.
